Video_ID,Views,Likes,Dislikes
rcfKg23Xf_4,777280,6640,8098
ra-haih-i_8,61093,1478,56
r_51UsTDBAE,2721510,54146,9552
rZkMPRz_di0,206517,6836,114
rYg7x1VPI30,1043,30,5
rX40mBb8bkU,3515219,55958,772
rWd802tL3J4,38712,837,29
rVP7IVk0btY,731623,45873,2046
rV8vTGcv5Jc,1194667,12699,328
rSvXJNpbXN4,248308,2009,34
rQvIR1oL1vE,3310281,51252,499
rOIbgD1HU1M,234484,5998,148
rN0AVgceINA,13845,101,6
rM7ZSfBXkYI,298234,3220,106
rM2qY_tOnjc,5666,33,6
rLHxbemvpxY,1550460,4792,1561
rKeFCd1j5BE,129185,4919,34
rJFL-GOlwgk,242749,2065,33
rITVsLScugo,706112,16482,128
rFzvBYFrhOc,1280665,6635,227
rFyGMTkr9n0,57948,1263,67
rFr7mjUNWwY,226633,872,80
rFOEB2dKRxc,32539,291,19
rF39C7GgR4g,266922,3708,403
rEUbvoJYUY0,339062,10412,82
rDUbEvhufd0,1092163,34928,242
r9PeYPHdpNo,451040,7095,132
r7T7A6ICJTY,132714,3896,92
r7Eldfklc4Y,284482,4252,357
r79c9uPRc6I,528417,10716,567
r6TlioPZElk,613266,4528,138
r4kiR2vsfAQ,170937,1247,20
r4AYP5CdWHA,76483,866,158
r-gLxTE6IFA,46367,548,32
qzDHW3CeVrM,183839,1499,53
qxgbdYaR_KQ,4171695,15607,450
qxRrpAYLtHI,146116,1481,84
qvPbJdDKKds,374965,10098,5429
qtswR_SW8S0,257259,6846,366
qt6byUPeszg,38980,561,39
qsh7bh8AlR0,377222,13060,137
qsRGW6q5p-M,792537,8435,227
qsAIPE2f0QQ,1138687,11768,699
qr8HJFy3df4,1580435,91632,329
qqQOk1BWkdM,95089,875,47
qoS_gveqRqc,495537,8875,5284
qoBlks9mCg8,61059,1004,90
qnE9ZHcZUoU,513220,2259,373
qlRsOWkzFgM,84596,1599,250
qgTtyfgzGc0,929137,8692,358
qfSTiAw1rkM,2932044,27187,828
qcAjc_eTJEQ,24106,1014,22
qbc8tdWe6lY,407674,6487,7771
qbXDCzwAsU0,177960,3898,52
qbK49i3p5Hw,30729,286,17
q_k8fVNzbGU,270596,4302,205
qZhb0Vl_BaM,7230488,201701,11360
qYU5RrYQ9fI,175545,654,87
qXoRdSTrR-4,4122514,20762,2778
qXE7MkPXicM,521095,6507,271
qWKsiHEpiJM,3104866,14730,903
qVJzQc9ELTE,3445910,10946,1151
qUp7Qgimn38,9103656,21651,6881
qTvEvrdKuQw,755353,6589,277
qQ8Htm4jAGc,396829,1093,39
qQ-if5YpEIo,35536,766,68
qPELCYFK-Wg,615241,7433,183
qNUoCEa8k3I,137317,2070,89
qMlQz57mbc8,777503,26188,187
qMXO6Up6pvE,1969929,8939,1743
qMRpelMtbes,122685,2446,178
qM7Eob4YFDQ,1131439,10149,122
qLqTfV4Yuic,101938,1509,52
qKqj85oo2wI,1825895,6084,210
qKAQNpgaruA,77485,868,48
qHkelMSSCgA,171044,2938,132
qFZ2SRr27wY,24144,357,51
qDPtWLbL3QI,55953,2309,15
qDFDZE_9Mcw,1421404,28711,698
qBgtlbCSvI0,601971,486,796
qAxcYgPxS64,36437,122,1
qAtBbgtMnZ8,1150747,8911,1322
qAJGOIs9pak,57578,880,141
qA8z0_tXIpg,452678,18594,1948
qA-FxRAcY0g,53926,272,84
q9ZADzr5fZs,1527588,42780,291
q9Pk_Eq4BUc,7033544,161954,4036
q99hib0zS2M,1526149,18401,509
q96aGwtnIOw,48495,282,36
q7rlAJepVuA,242228,7396,145
q7fmi_Djskg,280075,2692,61
q7CQlGBnOIc,60850,259,33
q6hODbsUE7Y,1256406,4112,221
q57D6kF5B1k,3027263,17683,878
q3tq4-IXA0M,34289,154,28
q2b8MKsUloc,1324479,17611,555
q2FEblUV-o4,399620,3449,166
q0eIOW74XW0,176356,6705,109
q07_k5VKuaQ,227795,5543,697
q-6Q1PBofik,62690,1449,12
pzjOAglMbx4,47480,531,23
pz7HObUYjGM,2517,100,8
pxmy217jzB8,1661,71,0
pwcr3cc0LZM,552781,14787,269
pwLZSyIRuAc,144720,1704,171
pw4TNqtL7oY,63424,704,88
pvFqi-YFWe8,370156,3474,220
pulZCXl6uwU,239217,1835,170
ptQEfQi86bE,14616,369,283
psbdT3kS8mY,917334,21341,416
psHMRpH8RCY,79333,1961,80
prchZUT26KM,533283,3097,224
pkvshDmp5Hw,31854,1103,47
pitxxQYZcug,1797946,23286,786
pi2k1u6eZuI,528579,5441,91
pgEehnImErc,316882,4965,206
pdZ1vRAXv9w,32355,612,60
pb7CBZ952zs,967104,4151,341
pa_vpo0wk6g,375378,5413,147
pa7cwhcq-10,23686,312,43
p_tZxAgotGI,319412,11084,162
p_PJbmrX4uk,8115879,187667,2382
p_CwKXcDv1Q,98349,798,121
pYTupg8BnyY,1415,69,28
pVmDZVcpeRs,727332,6364,474
pVQFWvm_fbU,474331,2085,269
pV4HoHmVYIY,101454,1778,70
pSktoxkK58I,247657,4261,74
pOl7kSAu7BU,696739,42921,600
pN_XItALHmM,326516,2215,139
pNI-4fvuexQ,30129,908,79
pN8xZ5WDonk,2269756,20720,984
pMb2MyO5FGs,52499,1037,161
pMIecEXEoQE,4988,35,19
pK7FcTfpJD4,114129,2917,54
pJrR29k4-UA,1119823,59064,566
pH0AsQeHXKw,7566,57,5
pFHCUst6iaA,63900,1421,36
pC3HlWL1hU4,782288,2623,79
pBxiq9s2wz4,324856,7551,166
pADsuuPd79E,227004,3723,177
p8enKudcpK8,364993,4329,163
p7dvJZuR3xc,11643,298,15
p5epZz0amdg,18921,291,35
p5N_3ki7cio,630578,3010,74
p2IlG12Tubo,49609,1155,44
p2GtPboSfb4,355270,6247,225
p1otGt99Rec,25450,286,4
p1Q4cfiho-4,485813,3158,170
p02P8HRtPFc,140664,2551,150
p-XeH76o4xQ,65890,294,10
p-1aM0oCjMY,394454,8473,177
ozYbqDiXT3I,5850486,196476,2608
oypPC6i3O1g,89406,784,35
oxwLn_d1NMM,67516,753,5
oxBk0L5iB-I,22657,631,37
ox7iP586qBg,4614,132,109
ovoJXdtPB-o,72753,1014,25
otf-9H4sOsc,162513,3074,224
otSCp9dD9oY,181535,1053,96
ostYFNFjhJ4,1167119,11098,600
osY929PCs2o,935735,46326,283
orlYG8yAS94,362657,2717,123
orHpSevqfQg,360766,183,48
oqJfNNt1BEc,725641,8646,269
op_cGQtFgYU,252336,2843,193
oo5nnF2Bk4E,901635,4040,254
omUnQ5ej6dY,559073,12281,160
olf9d8JvrA8,873860,4447,421
ol5Rf4g3Xfs,129776,1118,98
oih-GSz0uwI,222368,3195,152
oiFe5CSv9hM,99124,796,53
ohgkYc6-6vc,197212,4271,104
ohb5k3_vQcE,1235551,12594,619
ofYNrO77clY,1536426,20076,473
oenwnJcjsXE,96222,3449,30
odIVhuVz9m0,37012,317,36
odDFr1wSNMw,25988,339,9
ocGHeqpGCvo,57384,970,149
oc-flKEKrPk,819,36,28
obRUABBsEeQ,33516,771,38
o_x_gTugVs0,844377,43159,154
o_lM68xXLvo,108646,689,29
oYfDRDjj8jQ,49297,804,26
oXC8GPLkyyc,117,0,0
oWnYtyNKPsA,2841894,21537,5380
oU7clobUQmQ,284429,1178,42
oRsaclO0VbU,3025351,8844,701
oNDTOy5bU_4,1921948,26159,343
oMxTK3-hgeo,5131151,172797,7115
oMHwRal-AR8,7384070,89973,2082
oM8j4vDiX0Y,195514,8205,168
oLFFW7XbGwU,184217,3872,55
oKjGByzlwjg,137994,833,137
